NR_SEQL_OCR_CVN;NR_CVN;VL_SDO_CGN;DT_CBR_PCL;DT_PRVT_RPSS_CVN;NR_CTR_OPR
67072468;366169;244.88;2019-08-20;2019-08-20;905657827
67072469;366169;100.93;2019-08-20;2019-08-20;921391472
67078539;163891;1065.48;2019-08-21;2019-08-21;904345089
67079071;367897;388.99;2019-08-21;2019-08-21;903306413
67079072;367897;220.24;2019-08-21;2019-08-21;905797579
67079073;367897;203.30;2019-08-21;2019-08-21;905993930
67081874;107610;941.90;2019-08-22;2019-08-22;918247115
67104120;358700;2272.14;2019-09-06;2019-08-26;884420554
67104125;359343;200.18;2019-08-25;2019-08-26;891735637
67104136;367747;394.85;2019-08-25;2019-08-26;900716567
67136459;44830;209.92;2019-08-30;2019-08-30;857730498
67141401;97292;382.17;2019-08-30;2019-08-30;901052816
67147012;100558;291.04;2019-09-06;2019-08-30;869770435
67147013;100558;258.04;2019-09-06;2019-08-30;871057482
67147014;100558;153.35;2019-08-30;2019-08-30;920522434
67148859;103842;796.32;2019-09-10;2019-08-30;840727857
67151818;107202;372.36;2019-08-30;2019-08-30;914907564
67173135;122844;70.04;2019-08-30;2019-08-30;918151700
67181975;128771;270.98;2019-08-30;2019-08-30;894987275
67192452;137096;331.73;2019-08-30;2019-08-30;918487464
67196338;213314;227.97;2019-08-30;2019-08-30;839634450
67201617;358401;18.17;2019-08-30;2019-08-30;899328950
67201638;358781;1.57;2019-09-11;2019-08-30;888288713
67201650;358781;0.70;2019-09-11;2019-08-30;890373976
67201742;359034;1453.30;2019-08-30;2019-08-30;920267482
67201759;359170;199.89;2019-08-30;2019-08-30;918401167
67201876;364326;596.57;2019-08-30;2019-08-30;897692522
67202000;364453;8.30;2019-08-30;2019-08-30;915909624
67202062;367987;262.20;2019-08-30;2019-08-30;907505456
67202063;367987;375.62;2019-08-30;2019-08-30;910036469
67202064;367987;36.66;2019-08-30;2019-08-30;915183780
67202154;370530;292.47;2019-08-30;2019-08-30;921123603
67204571;92014;58.13;2019-08-30;2019-08-30;901646188
67243919;1078;65.21;2019-09-02;2019-09-02;0
67243920;1078;104.45;2019-09-02;2019-09-02;0
67243923;1078;826.05;2019-09-02;2019-09-02;0
67243924;1078;103.74;2019-09-02;2019-09-02;0
67252205;1078;1427.89;2019-09-02;2019-09-02;840030759
67266628;1078;941.88;2019-09-02;2019-09-02;845828515
67267429;1078;78.47;2019-09-02;2019-09-02;854799238
67267592;1078;192.81;2019-09-02;2019-09-02;857100700
67267666;1078;19.04;2019-09-02;2019-09-02;858206355
67267763;1078;26.60;2019-09-02;2019-09-02;859575954
67267842;1078;27.58;2019-09-02;2019-09-02;861229381
67268021;1078;31.61;2019-09-02;2019-09-02;866053061
67268323;1078;139.77;2019-09-02;2019-09-02;872712026
67268471;1078;1834.65;2019-09-02;2019-09-02;874591460
67268606;1078;3356.95;2019-09-02;2019-09-02;876611507
67268738;1078;383.58;2019-09-02;2019-09-02;878853719
67268770;1078;1809.17;2019-09-02;2019-09-02;879085497
67269346;1078;247.75;2019-09-02;2019-09-02;884823010
67269605;1078;93.57;2019-09-02;2019-09-02;887259642
67269627;1078;38.85;2019-09-02;2019-09-02;887429474
67270233;1078;31.44;2019-09-02;2019-09-02;891544851
67270333;1078;109.05;2019-09-02;2019-09-02;892206392
67270512;1078;1380.62;2019-09-02;2019-09-02;893471573
67270522;1078;3700.08;2019-09-02;2019-09-02;893500877
67270866;1078;211.91;2019-09-02;2019-09-02;895352111
67283633;1337;87.02;2019-09-12;2019-09-02;839121243
67292506;100600;208.41;2019-09-02;2019-09-02;908950434
67292507;100600;58.45;2019-09-02;2019-09-02;917982161
67292822;102182;369.72;2019-09-02;2019-09-02;872567486
67305544;308975;123.74;2019-09-02;2019-09-02;885366144
67305902;367995;187.45;2019-09-02;2019-09-02;907570244
67321076;332654;99.98;2019-09-03;2019-09-03;893341917
67321077;332654;108.97;2019-09-03;2019-09-03;907553347
67324097;119547;541.66;2019-09-10;2019-08-30;856304542
67325703;75254;835.25;2019-09-05;2019-09-05;917154215
67325704;75254;319.18;2019-09-05;2019-09-05;922526589
67341768;203782;72.86;2019-09-05;2019-09-05;886318349
67341769;203782;67.39;2019-09-05;2019-09-05;895940576
67342045;214888;1695.02;2019-09-05;2019-09-05;884974513
67343120;218951;1622.14;2019-09-05;2019-09-05;870002267
67343557;307246;571.91;2019-09-05;2019-09-05;859560153
67343558;307246;570.71;2019-09-05;2019-09-05;880659993
67344006;367079;352.67;2019-09-05;2019-09-05;916487345
67375514;96705;80.38;2019-09-06;2019-09-06;829227601
67375515;96705;200.52;2019-09-06;2019-09-06;887415706
67375516;96705;314.14;2019-09-06;2019-09-06;895437723
67387940;135628;238.48;2019-09-06;2019-09-06;920837920
67389724;165414;263.41;2019-09-06;2019-09-06;839991711
67390407;202619;281.03;2019-09-06;2019-09-06;913954649
67410384;218903;890.74;2019-09-06;2019-09-06;881646716
67427371;314842;257.56;2019-09-06;2019-09-06;911465220
67427662;334462;377.76;2019-09-06;2019-09-06;921891252
67440622;110588;343.50;2019-09-07;2019-09-09;879878446
67440623;110588;657.44;2019-09-07;2019-09-09;880651097
67440624;110588;358.47;2019-09-07;2019-09-09;898361936
67442139;1602;103.02;2019-09-10;2019-09-10;914171330
67443287;97102;1594.44;2019-09-10;2019-09-10;844144721
67443397;98189;249.96;2019-09-10;2019-09-10;856738048
67443398;98189;253.53;2019-09-10;2019-09-10;890943028
67443399;98189;193.55;2019-09-10;2019-09-10;898166823
67443400;98189;534.55;2019-09-10;2019-09-10;902623616
67443401;98189;243.64;2019-09-10;2019-09-10;906697608
67443402;98189;297.67;2019-09-10;2019-09-10;909487051
67443403;98189;406.95;2019-09-10;2019-09-10;914033671
67443404;98189;237.04;2019-09-10;2019-09-10;920033251
67443565;100774;46.49;2019-09-10;2019-09-10;863900532
67443566;100774;356.46;2019-09-10;2019-09-10;878852706
67443567;100774;230.19;2019-09-10;2019-09-10;880922308
67443568;100774;1107.10;2019-09-10;2019-09-10;891138596
67443569;100774;349.23;2019-09-10;2019-09-10;896080352
67444583;105015;212.18;2019-09-10;2019-09-10;903355899
67444906;110019;207.98;2019-09-10;2019-09-10;915529272
67445960;117592;201.96;2019-09-10;2019-09-10;907318272
67445961;117592;129.09;2019-09-10;2019-09-10;911904238
67446884;125232;509.71;2019-09-10;2019-09-10;895562553
67447840;132758;307.59;2019-09-10;2019-09-10;906643801
67448105;134533;576.90;2019-09-10;2019-09-10;917769172
67448344;141060;671.36;2019-09-10;2019-09-10;906722165
67448582;158263;397.24;2019-09-10;2019-09-10;886524581
67448718;195775;253.83;2019-09-10;2019-09-10;893485570
67448719;195775;225.45;2019-09-10;2019-09-10;904185451
67448720;195775;0.10;2019-09-10;2019-09-10;905938681
67448721;195775;169.46;2019-09-10;2019-09-10;907386803
67448755;200033;313.88;2019-09-10;2019-09-10;906248169
67448756;200033;392.64;2019-09-10;2019-09-10;913154312
67448757;200033;131.22;2019-09-10;2019-09-10;920410694
67448766;200814;464.56;2019-09-10;2019-09-10;919586062
67448792;204951;325.24;2019-09-10;2019-09-10;893858579
67449316;333584;674.71;2019-09-10;2019-09-10;905385708
67449317;333584;1597.50;2019-09-10;2019-09-10;915557239
67449511;352777;657.04;2019-09-15;2019-09-10;862805052
67451625;195775;44.63;2019-09-10;2019-09-10;832397316
67454720;122670;349.54;2019-09-12;2019-09-12;908735194
67454964;192324;173.10;2019-09-12;2019-09-12;905279194
67454965;192324;977.68;2019-09-12;2019-09-12;916561795
67455036;364347;244.47;2019-09-12;2019-09-12;892828034
67456401;116106;176.10;2019-09-13;2019-09-13;843755828
67456402;116106;357.08;2019-09-13;2019-09-13;851006619
67456403;116106;293.16;2019-09-13;2019-09-13;867691892
67456404;116106;129.36;2019-09-13;2019-09-13;891453814
67456405;116106;466.74;2019-09-13;2019-09-13;916158189
67456406;116106;714.56;2019-09-13;2019-09-13;916159916
67457622;309654;375.04;2019-09-13;2019-09-13;888892348
67457648;353506;490.69;2019-09-13;2019-09-13;909493805
67457649;353506;1194.06;2019-09-13;2019-09-13;918326983
67457650;353506;766.57;2019-09-13;2019-09-13;920480841
67465273;358195;230.80;2019-09-16;2019-09-16;899454465
67470625;147451;477.70;2019-09-19;2019-09-19;896566935
67472001;104775;259.44;2019-09-20;2019-09-20;915711546
67472266;108407;940.31;2019-09-20;2019-09-20;915537849
67472414;112248;172.38;2019-10-20;2019-10-07;849321418
67473888;121219;227.99;2019-09-20;2019-09-20;840328417
67473889;121219;248.22;2019-09-20;2019-09-20;846091283
67473890;121219;399.66;2019-09-20;2019-09-20;848774969
67473891;121219;19.68;2019-09-20;2019-09-20;859387237
67473892;121219;459.86;2019-09-20;2019-09-20;860225226
67473893;121219;374.14;2019-09-20;2019-09-20;862338368
67473894;121219;68.11;2019-09-20;2019-09-20;862407330
67473895;121219;452.06;2019-09-20;2019-09-20;863095137
67473896;121219;44.34;2019-09-20;2019-09-20;866241371
67473897;121219;276.27;2019-09-20;2019-09-20;876811158
67473898;121219;294.98;2019-09-20;2019-09-20;881292615
67473899;121219;133.93;2019-09-20;2019-09-20;881533913
67473900;121219;176.34;2019-09-20;2019-09-20;883105989
67473901;121219;282.99;2019-09-20;2019-09-20;886178058
67473902;121219;624.88;2019-09-20;2019-09-20;887402219
67473903;121219;110.68;2019-09-20;2019-09-20;888636681
67473904;121219;457.95;2019-09-20;2019-09-20;888821311
67473905;121219;111.54;2019-09-20;2019-09-20;889522424
67473906;121219;435.37;2019-09-20;2019-09-20;891792849
67473907;121219;376.61;2019-09-20;2019-09-20;895669252
67473908;121219;68.14;2019-09-20;2019-09-20;896238794
67473909;121219;35.54;2019-09-20;2019-09-20;897771349
67473910;121219;295.66;2019-09-20;2019-09-20;898354762
67473911;121219;110.68;2019-09-20;2019-09-20;898402338
67473912;121219;52.00;2019-09-20;2019-09-20;899171831
67473913;121219;314.00;2019-09-20;2019-09-20;899693137
67473914;121219;130.17;2019-09-20;2019-09-20;900462519
67473915;121219;312.21;2019-09-20;2019-09-20;902389066
67473916;121219;618.95;2019-09-20;2019-09-20;902949576
67473917;121219;676.18;2019-09-20;2019-09-20;903429751
67473918;121219;461.03;2019-09-20;2019-09-20;903515531
67473919;121219;631.52;2019-09-20;2019-09-20;904054777
67473920;121219;606.47;2019-09-20;2019-09-20;912835388
67473921;121219;572.73;2019-09-20;2019-09-20;918085087
67474229;125246;713.84;2019-09-20;2019-09-20;916115535
67475444;153010;746.85;2019-10-15;2019-09-20;895797201
67475465;153010;417.73;2019-10-15;2019-09-20;904507836
67475466;153010;990.62;2019-10-15;2019-09-20;904742495
67475702;198232;522.74;2019-09-20;2019-09-20;850668174
67476108;358606;171.44;2019-09-20;2019-09-20;890155028
67476167;367897;239.81;2019-09-20;2019-09-20;903373190
67476168;367897;693.41;2019-09-20;2019-09-20;907709355
67485985;163891;1065.48;2019-09-23;2019-09-23;904345089
67487833;107977;396.20;2019-09-24;2019-09-24;914486423
67492267;1640;175.75;2019-10-07;2019-10-07;887253388
67492712;1640;133.04;2019-10-07;2019-10-07;894681394
67492909;1640;14.03;2019-10-07;2019-10-07;895718976
67494422;1640;13.23;2019-10-07;2019-10-07;914291021
67494970;1745;214.91;2019-09-25;2019-09-25;912642574
67495018;8006;148.38;2019-09-25;2019-09-25;891975764
67495019;8006;1233.30;2019-09-25;2019-09-25;898719619
67498777;226035;1456.95;2019-09-25;2019-09-25;882971118
67499207;358700;2272.14;2019-10-07;2019-09-25;884420554
67499216;364215;1021.13;2019-09-25;2019-09-25;914527345
67533023;28038;608.90;2019-09-30;2019-09-30;862644882
67533024;28038;57.20;2019-09-30;2019-09-30;903644838
67533027;28038;1684.36;2019-09-30;2019-09-30;911783063
67533030;28038;1832.30;2019-09-30;2019-09-30;918690784
67540586;97655;157.60;2019-10-05;2019-09-30;858097937
67542062;99446;155.25;2019-10-01;2019-09-30;839769738
67542076;99446;566.44;2019-09-30;2019-09-30;876619723
67542077;99446;386.09;2019-09-30;2019-09-30;903179878
67542224;99833;121.36;2019-09-30;2019-09-30;851917888
67542814;100558;2159.77;2019-09-30;2019-09-30;920065037
67542815;100558;143.68;2019-09-30;2019-09-30;921766707
67556389;114367;486.62;2019-10-10;2019-09-30;827160411
67570183;123564;363.35;2019-09-28;2019-09-30;911551761
67570184;123564;206.00;2019-09-28;2019-09-30;916728044
67574704;128771;293.42;2019-09-30;2019-09-30;902312270
67582041;130644;237.66;2019-09-30;2019-09-30;895108797
67584477;137744;248.47;2019-09-28;2019-09-30;915792102
67584478;137744;293.11;2019-09-28;2019-09-30;916720185
67584513;138593;411.06;2019-09-30;2019-09-30;921030649
67584809;140951;891.69;2019-09-30;2019-09-30;894423085
67585110;143010;1240.84;2019-09-30;2019-09-30;863118142
67585450;146590;137.82;2019-09-30;2019-09-30;886002542
67585451;146590;110.41;2019-09-30;2019-09-30;890583025
67585452;146590;211.01;2019-09-30;2019-09-30;894684994
67586143;154516;71.88;2019-10-06;2019-09-30;842640089
67586158;154516;731.29;2019-09-30;2019-09-30;890125902
67586159;154516;475.44;2019-09-30;2019-09-30;894979739
67587538;201464;622.12;2019-09-30;2019-09-30;883042854
67587648;206311;289.46;2019-09-30;2019-09-30;909014724
67587857;212541;221.13;2019-09-30;2019-09-30;877981319
67587889;213064;1337.16;2019-10-14;2019-09-30;842700530
67588031;213064;745.41;2019-10-07;2019-09-30;896217354
67591749;311698;653.13;2019-10-11;2019-09-30;887035731
67591784;311698;334.08;2019-10-11;2019-09-30;907048251
67592405;329102;405.80;2019-09-30;2019-09-30;921055308
67593247;358888;186.76;2019-09-30;2019-09-30;895286195
67593345;359170;30.03;2019-10-07;2019-09-30;895520283
67593346;359170;251.33;2019-10-07;2019-09-30;895902780
67593367;364287;44.49;2019-10-10;2019-09-30;806855992
67593373;364287;198.54;2019-10-10;2019-09-30;818655500
67593389;364287;75.99;2019-10-10;2019-09-30;833447275
67593403;364287;38.27;2019-10-10;2019-09-30;838150764
67596827;92014;58.13;2019-09-30;2019-09-30;901646188
67601577;364287;61.92;2019-10-10;2019-09-30;833896245
67683779;96329;1514.75;2019-10-01;2019-10-01;841567315
67683780;96329;769.73;2019-10-01;2019-10-01;851097069
67683781;96329;146.53;2019-10-01;2019-10-01;857805058
67683782;96329;182.68;2019-10-01;2019-10-01;893331117
67683783;96329;581.60;2019-10-01;2019-10-01;893991831
67683784;96329;378.98;2019-10-01;2019-10-01;896698884
67684694;104076;1330.94;2019-10-07;2019-10-01;866864394
67691626;122228;496.02;2019-10-01;2019-10-01;875509523
67691627;122228;1215.31;2019-10-01;2019-10-01;882112810
67691628;122228;1271.40;2019-10-01;2019-10-01;883340097
67696482;358109;1099.35;2019-10-01;2019-10-01;915632005
67696533;367995;729.82;2019-10-01;2019-10-01;909420026
67707605;308975;122.55;2019-10-02;2019-10-02;827511271
67717180;213064;19.52;2019-09-30;2019-09-30;914306106
67717184;357603;231.27;2019-09-30;2019-09-30;913970192
67777051;96705;195.40;2019-10-07;2019-10-07;874818809
67777053;96705;209.56;2019-10-07;2019-10-07;908791844
67779335;104516;311.96;2019-10-05;2019-10-07;861205737
67782618;112248;117.54;2019-10-05;2019-10-07;855591219
67782619;112248;43.08;2019-10-05;2019-10-07;856811293
67782690;113326;125.29;2019-10-05;2019-10-07;897922867
67790478;122262;582.93;2019-10-15;2019-10-07;838664012
